name	genre	type	episodes	rating
Natsume Yuujinchou San	Drama, Fantasy, Shoujo, Slice of Life, Supernatural	TV	13	8.67	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
Seto no Hanayome	Comedy, Parody, Romance, School	TV	26	7.95
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu	Action, Mecha, Military	Movie	1	7.59
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta	Adventure, Comedy, Fantasy, Sci-Fi, Shounen	Movie	1	7.72
Ginga Sengoku Gunyuuden Rai	Adventure, Romance, Sci-Fi, Shounen, Space	TV	52	8.12
Ike! Ina-chuu Takkyuubu	Comedy, Ecchi, School, Sports	TV	26	7.7
Afro Samurai: Resurrection	Action, Adventure, Samurai	Movie	1	7.46
Persona 3 the Movie 2: Midsummer Knight&#039;s Dream	Action, Fantasy, Seinen, Supernatural	Movie	1	7.9
ef: A Tale of Memories. - Recollections	Drama, Mystery, Romance	Special	1	7.55
Lupin III: Bye Bye Liberty - Kiki Ippatsu!	Action, Adventure, Comedy, Shounen	Special	1	7.03
Sukitte Ii na yo.	Romance, School, Shoujo	TV	13	7.71
Hetalia World Series Specials	Comedy, Historical, Parody	Special	4	7.88
Giant Killing	Drama, Seinen, Sports	TV	26	7.71
Date A Live	Comedy, Harem, Mecha, Romance, School, Sci-Fi	TV	12	7.54
Digimon Adventure tri. 3: Kokuhaku	Action, Adventure, Comedy, Drama	Movie	1	8.13
Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e	Drama, Romance, Sci-Fi, Shoujo	Movie	1	7.12
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!	Comedy, Ecchi, Kids, School	Movie	1	7.05
Bishoujo Senshi Sailor Moon S	Drama, Magic, Romance, Shoujo	TV	38	7.89
Futakoi Alternative	Comedy, Drama, Romance	TV	13	7.02
Aoki Hagane no Arpeggio: Ars Nova DC	Action, Sci-Fi, Seinen	Movie	1	7.58
Precure All Stars Movie New Stage 3: Eien no Tomodachi	Kids, Magic, Shoujo	Movie	1	7.47
Maria-sama ga Miteru	Drama, Romance, Shoujo, Shoujo Ai, Slice of Life	TV	13	7.48
Natsume Yuujinchou Go	Drama, Fantasy, Shoujo, Slice of Life, Supernatural	TV	13	8.76
Pokemon: Pikachu to Eevee Friends	Adventure, Comedy, Fantasy, Kids	Movie	1	7.04
Hyouka	Mystery, School, Slice of Life	TV	22	8.17
Yankee-kun na Yamada-kun to Megane-chan to Majo	Comedy, School, Shounen	Special	1	7.48
